organisationunitid,uid,code,created,lastupdated,name,shortname,parentid,description,openingdate,closeddate,comment,featuretype,coordinates,url,contactperson,address,email,phonenumber,userid,path,hierarchylevel,lastupdatedby
65446455,BGhXdIIIxDO,DIC110522001,1/17/2022 9:51,1/17/2022 10:04,DIC MADAIDS BERAVINA ITAOSY ATSIMONDRANO (DIC110522001),DIC MADAIDS BERAVINA ITAOSY ATSIMONDRANO,2293,,1/1/2021,,,NONE,,,,,,,11649191,/p67073f8zXQ/usf79qJkEBj/iFgL7escm0N/zHdKbnpsQ29/BGhXdIIIxDO,5,11649191
65462506,WmHE73naW77,DIC210301001,1/19/2022 9:02,2/5/2022 16:11,DIC AJPP Tanamao V ANTSIRANANA I (DIC210301001),DIC AJPP Tanamao V ANTSIRANANA I (DIC210301001),2544,,1/1/2021,,,NONE,,,,,,,46,/p67073f8zXQ/ARvsCfjA6ew/YW1Me95EOXj/sd2f9DpA3Ra/WmHE73naW77,5,11649191
65446478,kbjxHerZEV1,DIC620327001,1/17/2022 10:00,1/17/2022 10:03,DIC MADAIDS Amboanato TAOLAGNARO (DIC620327001),DIC MADAIDS Amboanato TAOLAGNARO,3613,,1/1/2021,,,NONE,,,,,,,11401,/p67073f8zXQ/M7Od7DhcjAj/uM8bCXE746v/U8AsyfCYYMN/kbjxHerZEV1,5,11649191
65446501,DYaLrZTPkSa,DIC630801001,1/17/2022 10:02,1/17/2022 10:04,DIC MADAIDS Antaninarenina TOLIARA I (DIC630801001),DIC MADAIDS Antaninarenina TOLIARA I,3693,,1/1/2021,,,NONE,,,,,,,46,/p67073f8zXQ/UkXtv7IkWFi/Ep1l1dJlWfh/ZXzKS23VWM7/DYaLrZTPkSa,5,11649191
65446504,olPrSQSz5mF,DIC630607001,1/17/2022 10:03,1/17/2022 10:05,DIC MADAIDS MOROMBE (DIC630607001),DIC MADAIDS MOROMBE,3680,,1/1/2021,,,NONE,,,,,,,11401,/p67073f8zXQ/UkXtv7IkWFi/Hpg2vEwyFXY/RRAa9jvZAmw/olPrSQSz5mF,5,11649191
65462569,KbR1CFtNWbd,DIC420201015,1/19/2022 9:21,2/5/2022 16:12,DIC AJPP Ambovoalanana Mahajanga I (DIC420201015),DIC AJPP Ambovoalanana Mahajanga I (DIC420201015),3092,,1/1/2021,,,NONE,,,,,,,11401,/p67073f8zXQ/IZCoihBqzGj/AppPyR4kuqU/DawbUhn5hi0/KbR1CFtNWbd,5,11649191
65462570,MS0gFef1H2c,DIC420201002,1/19/2022 9:23,2/5/2022 16:13,DIC AJPP Tsararano ambony Mahajanga I (DIC420201002),DIC AJPP Tsararano ambony Mahajanga i,3092,,1/1/2021,,,NONE,,,,,,,11649191,/p67073f8zXQ/IZCoihBqzGj/AppPyR4kuqU/DawbUhn5hi0/MS0gFef1H2c,5,11649191
65462571,J8uztTwRFXE,DIC210506002,1/19/2022 9:24,4/21/2022 10:01,DIC AJPP Andavakotoko Hell ville (DIC210506002),DIC AJPP Andavakotoko Hell ville (DIC210506002),2569,,1/1/2021,,,NONE,,,,,,,46,/p67073f8zXQ/ARvsCfjA6ew/xy3ch5exgth/FtoP3oN3MT6/J8uztTwRFXE,5,11649191
65495487,vpgmMQwk7wI,DIC330301001,1/25/2022 9:57,2/5/2022 16:08,DIC ASOS Ambatolahikosoa FIANARANTSOA (DIC330301001),DIC ASOS Ambatolahikosoa FIANARANTSOA,2828,,1/1/2021,,,NONE,,,,,,,11649191,/p67073f8zXQ/FNSw061BGSq/NlXvR7yzkJI/mKTc9dBylXn/vpgmMQwk7wI,5,11649191
65495848,p5aWccbh6Xo,DIC110801001,1/25/2022 10:01,2/5/2022 16:09,DIC ASOS Ambohitsoa ANTANANARIVO II (DIC110801001),DIC ASOS Ambohitsoa ANTANANARIVO II,3771,,1/1/2021,,,NONE,,,,,,,11649191,/p67073f8zXQ/usf79qJkEBj/qm5g8CseRup/KQf5r40f8sa/p5aWccbh6Xo,5,11649191
